masculine,feminine
généreux,généreuse
avare,avare
radin,radine
étroit,étroite
ouvert,ouverte
fermé,fermée
accueillant,accueillante
hospitalier,hospitalière
froid,froide
chaud,chaude
amical,amicale
hostile,hostile
sympathique,sympathique
antipathique,antipathique
agréable,agréable
désagréable,désagréable
charmant,charmante
repoussant,repoussante
attirant,attirante
séduisant,séduisante
charismatique,charismatique
ennuyeux,ennuyeuse
intéressant,intéressante
passionné,passionnée
indifférent,indifférente
enthousiaste,enthousiaste
blasé,blasée
motivé,motivée
démotivé,démotivée
ambitieux,ambitieuse
sans ambition,sans ambition
persévérant,persévérante
tenace,tenace
obstiné,obstinée
têtu,têtue
flexible,flexible
rigide,rigide
adaptable,adaptable
inadaptable,inadaptable
souple,souple
raide,raide
malleable,malleable
inflexible,inflexible
patient,patience
impulsif,impulsive
calme,calme
colérique,colérique
paisible,paisible
violent,violente
doux,douce
agressif,agressive
pacifique,pacifique
guerrier,guerrière
combatif,combative
pacifiste,pacifiste
brave,brave
lâche,lâche
courageux,courageuse
peureux,peureuse
héroïque,héroïque
craintif,craintive
audacieux,audacieuse
téméraire,téméraire
prudent,prudente
imprudent,imprudent
réfléchi,réfléchie
impulsif,impulsive
sage,sage
fou,folle
raisonnable,raisonnable
déraisonnable,déraisonnable
équilibré,équilibrée
déséquilibré,déséquilibrée
sain,saine
malade,malade
fort,forte
faible,faible
robuste,robuste
fragile,fragile
résistant,résistante
vulnérable,vulnérable
endurant,endurante
fatigué,fatiguée
énergique,énergique
léthargique,léthargique
vigoureux,vigoureuse
mou,molle
actif,active
passif,passive
proactif,proactive
réactif,réactive
initiatif,initiative
suiveur,suiveuse
leader,leader
meneur,meneuse
suiveur,suiveuse
indépendant,indépendante
dépendant,dépendante
autonome,autonome
soumis,soumise
dominant,dominante
dominé,dominée
maître,maîtresse
esclave,esclave
libre,libre
opprimé,opprimée
émancipé,émancipée
soumis,soumise
révolté,révoltée
conformiste,conformiste
rebelle,rebelle
traditionnel,traditionnelle
avant-gardiste,avant-gardiste
conservateur,conservatrice
progressiste,progressiste
réactionnaire,réactionnaire
révolutionnaire,révolutionnaire
réformiste,réformiste
radical,radicale
modéré,modérée
extremiste,extremiste
fanatique,fanatique
tolérant,tolérante
intolérant,intolérante
ouvert,ouverte
fermé,fermée
large,large
étroit,étroite
compréhensif,compréhensible
incompréhensif,incompréhensible
indulgent,indulgente
sévère,sévère
clément,clémente
impitoyable,impitoyable
miséricordieux,miséricordieuse
cruel,cruelle
bienveillant,bienveillante
malveillant,malveillante
bénin,bénigne
malin,maligne
bon,bonne
mauvais,mauvaise
moral,morale
immoral,immorale
éthique,éthique
amoral,amorale
vertueux,vertueuse
vicieux,vicieuse
intègre,intègre
corrompu,corrompue
honnête,honnête
malhonnête,malhonnête
sincère,sincère
hypocrite,hypocrite
franc,franche
faux,fausse
vrai,vraie
véridique,véridique
menteur,menteuse
fiable,fiable
peu fiable,peu fiable
sûr,sûre
incertain,incertaine
prédictible,prédictible
imprévisible,imprévisible
constant,constante
variable,variable
stable,stable
instable,instable
fidèle,fidèle
infidèle,infidèle
loyal,loyale
déloyal,déloyale
confiant,confiante
méfiant,méfiante
naïf,naïve
méfiant,méfiante
crédule,crédule
sceptique,sceptique
optimiste,optimiste
pessimiste,pessimiste
positif,positive
négatif,négative
hardi,hardie
timoré,timorée
intrépide,intrépide
craintif,craintive
