nom,genre,categorie
louveteau,m,animaux
renardeau,m,animaux
baleineau,m,animaux
moucheron,m,animaux
souris,f,animaux
hamster,m,animaux
pigeon,m,animaux
faisan,m,animaux
caille,f,animaux
faucon,m,animaux
aigle,m,animaux
vautour,m,animaux
python,m,animaux
boa,m,animaux
gazelle,f,animaux
porc,m,animaux
buffle,m,animaux
antilope,f,animaux
belier,m,animaux
bouc,m,animaux
brebis,f,animaux
taureau,m,animaux
poussin,m,animaux
colibri,m,animaux
perruche,f,animaux
furet,m,animaux
condor,m,animaux
scorpion,m,animaux
araignee,f,animaux
tetard,m,animaux
dinosaure,m,animaux
leopard,m,animaux
guepard,m,animaux
jaguar,m,animaux
marmotte,f,animaux
koala,m,animaux
panda,m,animaux
renne,m,animaux
caribou,m,animaux
etalon,m,animaux
jument,f,animaux
grizzly,m,animaux
gecko,m,animaux
hanneton,m,animaux
cigale,f,animaux
phacochere,m,animaux
sauterelle,f,animaux
tatou,m,animaux
mesange,f,animaux
tique,f,animaux
ouistiti,m,animaux
bonobo,m,animaux
macaque,m,animaux
cousin,m,autres
cousine,f,autres
homme,m,autres
femme,f,autres
prince,m,autres
princesse,f,autres
roi,m,autres
reine,f,autres
heros,m,autres
heroine,f,autres
ami,m,autres
amie,f,autres
voisin,m,autres
voisine,f,autres
collegue,m,autres
partenaire,m,autres
adversaire,m,autres
allie,m,autres
alliee,f,autres
concurrent,m,autres
mentor,m,autres
mentore,f,autres
eleve,m,autres
apprenti,m,autres
apprentie,f,autres
maitre,m,autres
maitresse,f,autres
chef,m,autres
cheffe,f,autres
leader,m,autres
capitaine,m,autres
commandant,m,autres
aventurier,m,autres
voyageur,m,autres
voyageuse,f,autres
pelerin,m,autres
pelerine,f,autres
marchand,m,autres
marchande,f,autres
artiste,m,autres
peintre,m,autres
sculpteur,m,autres
sculptrice,f,autres
poete,m,autres
poetesse,f,autres
musicien,m,autres
musicienne,f,autres
chanteur,m,autres
chanteuse,f,autres
acteur,m,autres
actrice,f,autres
joueur,m,autres
joueuse,f,autres
coureur,m,autres
coureuse,f,autres
nageur,m,autres
nageuse,f,autres
boxeur,m,autres
boxeuse,f,autres
combattant,m,autres
soldat,m,autres
soldate,f,autres
guerrier,m,autres
guerriere,f,autres
chevalier,m,autres
dame,f,autres
magicien,m,autres
magicienne,f,autres
sorcier,m,autres
sorciere,f,autres
alchimiste,m,autres
erudit,m,autres
erudite,f,autres
sage,m,autres
philosophe,m,autres
inventeur,m,autres
inventrice,f,autres
createur,m,autres
creatrice,f,autres
dragon,m,creature
dragonne,f,creature
licorne,f,creature
griffon,m,creature
phenix,m,creature
sirene,f,creature
centaure,m,creature
nymphe,f,creature
satyr,m,creature
harpie,f,creature
chimere,f,creature
hydre,f,creature
minotaure,m,creature
sphinx,m,creature
goule,f,creature
zombie,m,creature
vampire,m,creature
vampiresse,f,creature
ogre,m,creature
ogresse,f,creature
troll,m,creature
gobelin,m,creature
elfe,m,creature
elfette,f,creature
demon,m,creature
demone,f,creature
ange,m,creature
archange,m,creature
valkyrie,f,creature
fantome,m,creature
spectre,m,creature
esprit,m,creature
ombre,f,creature
lutin,m,creature
farfadet,m,creature
pixie,f,creature
fee,f,creature
geant,m,creature
geante,f,creature
gnome,m,creature
nain,m,creature
naine,f,creature
orc,m,creature
hobbit,m,creature
basilic,m,creature
manticore,f,creature
leviathan,m,creature
kraken,m,creature
yeti,m,creature
djinn,m,creature
genie,m,creature
godzilla,m,creature
cerbere,m,creature
medecin,m,métiers
infirmiere,f,métiers
enseignant,m,métiers
avocat,m,métiers
avocate,f,métiers
pompier,m,métiers
pompiere,f,métiers
architecte,m,métiers
plombier,m,métiers
plombiere,f,métiers
menuisier,m,métiers
menuisiere,f,métiers
boulanger,m,métiers
boulangere,f,métiers
boucher,m,métiers
bouchere,f,métiers
pharmacien,m,métiers
pilote,m,métiers
chauffeur,m,métiers
chauffeuse,f,métiers
coiffeur,m,métiers
coiffeuse,f,métiers
serveur,m,métiers
serveuse,f,métiers
cuisinier,m,métiers
cuisiniere,f,métiers
macon,m,métiers
maconne,f,métiers
ecrivain,m,métiers
ecrivaine,f,métiers
chercheur,m,métiers
chercheuse,f,métiers
professeur,m,métiers
directeur,m,métiers
directrice,f,métiers
manager,m,métiers
manageuse,f,métiers
artisan,m,métiers
artisane,f,métiers
commercant,m,métiers
vendeur,m,métiers
vendeuse,f,métiers
caissier,m,métiers
caissiere,f,métiers
banquier,m,métiers
banquiere,f,métiers
notaire,m,métiers
juge,m,métiers
aviateur,m,métiers
aviatrice,f,métiers
marin,m,métiers
policier,m,métiers
policiere,f,métiers
gendarme,m,métiers
militaire,m,métiers
traducteur,m,métiers
interprete,m,métiers
analyste,m,métiers
physicien,m,métiers
chimiste,m,métiers
biologiste,m,métiers
astronome,m,métiers
historien,m,métiers
psychiatre,m,métiers
sociologue,m,métiers
economiste,m,métiers
rose,f,plantes
tulipe,f,plantes
marguerite,f,plantes
orchidee,f,plantes
lys,m,plantes
pivoine,f,plantes
lavande,f,plantes
jasmin,m,plantes
chene,m,plantes
sapin,m,plantes
erable,m,plantes
bouleau,m,plantes
peuplier,m,plantes
saule,m,plantes
pin,m,plantes
cypres,m,plantes
bambou,m,plantes
cactus,m,plantes
aloe,m,plantes
ficus,m,plantes
lierre,m,plantes
vigne,f,plantes
fougere,f,plantes
mousse,f,plantes
lilas,m,plantes
hortensia,m,plantes
camelia,m,plantes
hibiscus,m,plantes
magnolia,m,plantes
sequoia,m,plantes
baobab,m,plantes
acacia,m,plantes
mimosa,m,plantes
thym,m,plantes
romarin,m,plantes
menthe,f,plantes
persil,m,plantes
coriandre,f,plantes
aneth,m,plantes
estragon,m,plantes
verveine,f,plantes
camomille,f,plantes
pissenlit,m,plantes
coquelicot,m,plantes
bleuet,m,plantes
nenuphar,m,plantes
lotus,m,plantes
palmier,m,plantes
bananier,m,plantes
cocotier,m,plantes
olivier,m,plantes
figuier,m,plantes
citronnier,m,plantes
oranger,m,plantes
pommier,m,plantes
poirier,m,plantes
cerisier,m,plantes
prunier,m,plantes
abricotier,m,plantes
amandier,m,plantes
noisetier,m,plantes
noyer,m,plantes
cacaoyer,m,plantes
cafeier,m,plantes
theier,m,plantes
papyrus,m,plantes
agave,m,plantes
lupin,m,plantes
capucine,f,plantes
begonia,m,plantes
petunia,m,plantes
geranium,m,plantes
fuchsia,m,plantes
primevere,f,plantes
anemone,f,plantes
edelweiss,m,plantes
coton,m,plantes
lin,m,plantes
chanvre,m,plantes
jute,m,plantes
rotin,m,plantes
osier,m,plantes
roseau,m,plantes
teck,m,plantes
ebene,m,plantes
acajou,m,plantes
houx,m,plantes
laurier,m,plantes
myrtille,f,plantes
canneberge,f,plantes
cassis,m,plantes
groseille,f,plantes
mûrier,m,plantes
passiflore,f,plantes
vanille,f,plantes
cannelle,f,plantes
safran,m,plantes
curcuma,m,plantes
gingembre,m,plantes
cardamome,f,plantes
poivre,m,plantes
piment,m,plantes
banane,f,plantes
pomme,f,plantes
poire,f,plantes
cerise,f,plantes
prune,f,plantes
abricot,m,plantes
peche,f,plantes
amande,f,plantes
noisette,f,plantes
chataigne,f,plantes
cacao,m,plantes
cafe,m,plantes
the,m,plantes
figue,f,plantes
olive,f,plantes
raisin,m,plantes
melon,m,plantes
pasteque,f,plantes
ananas,m,plantes
mangue,f,plantes
papaye,f,plantes
litchi,m,plantes
grenade,f,plantes
kaki,m,plantes
framboise,f,plantes
mûre,f,plantes
fraise,f,plantes
carotte,f,plantes
navet,m,plantes
radis,m,plantes
betterave,f,plantes
courgette,f,plantes
concombre,m,plantes
potiron,m,plantes
citrouille,f,plantes
chou,m,plantes
brocoli,m,plantes
epinard,m,plantes
salade,f,plantes
laitue,f,plantes
